month,region,revenue,arr,mrr,customers,seats
2025-01,North America,380000,15200000,1266667,42,310
2025-02,North America,395000,15800000,1316667,44,325
2025-03,North America,410000,16400000,1366667,46,340
2025-04,North America,430000,17200000,1433333,48,360
2025-05,North America,455000,18200000,1516667,51,382
2025-06,North America,480000,19200000,1600000,54,405
2025-01,EMEA,120000,4800000,400000,15,98
2025-02,EMEA,128000,5120000,426667,16,105
2025-03,EMEA,135000,5400000,450000,17,112
2025-04,EMEA,142000,5680000,473333,18,119
2025-05,EMEA,150000,6000000,500000,19,126
2025-06,EMEA,158000,6320000,526667,20,134
2025-01,APAC,65000,2600000,216667,8,52
2025-02,APAC,70000,2800000,233333,9,58
2025-03,APAC,75000,3000000,250000,9,62
2025-04,APAC,82000,3280000,273333,10,68
2025-05,APAC,88000,3520000,293333,11,74
2025-06,APAC,94000,3760000,313333,12,80
